"paper","invasive.species","native.species","Response","native.low.n","native.high.n","native.low.avg","native.sd.low","native.high.avg","native.sd.high","invasive.low.n","invasive.high.n","invasive.low.avg","invsive.sd.low","invaives.high.avg","invsive.sd.high"
13,"Centaurea melitensis","Podolepis gracilis","r:s",4,2,0.354,0.297,0.397,0.055,7,7,0.807,0.161,0.755,0.311
13,"Hypochaeris glabra","Podotheca chrysantha","r:s",7,7,1.264,0.345,0.187,0.049,7,3,0.767,0.135,0.2,0.041
13,"Hypochaeris glabra","Podotheca chrysantha","Root biomass",7,7,6.386,2.886,68.886,37.707,7,3,3.1,0.775,189.833,31.072
13,"Hypochaeris glabra","Podotheca chrysantha","Biomass",7,7,5.543,3.901,351.157,130.866,7,3,4.129,1.238,976.833,242.2
13,"Sonchus oleraceus","Podotheca gnaphalioides","Biomass",7,5,1.529,0.298,239.48,87.616,7,5,8.343,1.879,639.96,202.48
13,"Sonchus oleraceus","Podotheca gnaphalioides","Root biomass",7,5,1.629,0.55,47.66,26.601,7,5,5.257,2.337,81.52,47.345
13,"Sonchus oleraceus","Podotheca gnaphalioides","r:s",7,5,1.063,0.303,0.188,0.071,7,5,0.609,0.172,0.126,0.049
13,"Urospermum picroides","Waitzia suaveolens","Biomass",7,4,6.129,2.565,429.6,104.288,7,7,6.457,1.4,974.371,231.148
13,"Urospermum picroides","Waitzia suaveolens","r:s",7,4,0.708,0.144,0.178,0.093,7,7,0.817,0.333,0.239,0.054
13,"Urospermum picroides","Waitzia suaveolens","Root biomass",7,4,4.171,1.426,83.35,54.358,7,7,5.643,3.714,231.4,76.597
13,"Ursinia anthemoides","multi.spp","Biomass",7,3,3.257,0.896,112.367,48.711,7,7,6.371,1.497,261.843,187.175
13,"Ursinia anthemoides","multi.spp","Root biomass",7,3,1.857,0.752,14.6,8.407,7,7,5.3,2.136,70.371,35.816
13,"Ursinia anthemoides","multi.spp","r:s",7,3,0.568,0.165,0.126,0.037,7,7,0.831,0.274,0.421,0.338
14,"Lonicera japonica","Lonicera semperviens","r:s",14,14,0.49,0.144,0.47,0.108,20,20,0.39,0.131,0.36,0.131
14,"Lonicera japonica","Lonicera semperviens","Shoot length",14,14,65.2,28.953,47.63,40.022,20,20,75.89,29.03,95.69,48.079
14,"Lonicera japonica","Lonicera semperviens","Photosynthesis",14,14,8.89,2.812,8.49,3.281,20,20,10.36,2.877,10.1,3.618
14,"Lonicera japonica","Lonicera semperviens","Root biomass",14,14,16.47,7.319,18.05,5.985,20,20,16.67,7.933,21.98,9.895
14,"Lonicera japonica","Lonicera semperviens","SLA",14,14,13.09,3.029,16.58,5.661,20,20,12.61,2.79,14.55,3.574
14,"Lonicera japonica","Lonicera semperviens","Biomass",14,14,16.29,5.336,19.34,4.327,20,20,20.59,4.969,29.44,4.62
